th ;kd_prd;kd_fk;kd_ptn ;dt ;jp;pg ;;;
2014;3341182;NULL;334;18;756;36;;;
2015;3341182;NULL;334;21;848;36,3;;;
2016;3341182;NULL;334;27;594;35;;;
2017;3341182;NULL;334;33;611;36;;;
2013;3341197;NULL;334;15;1134;42;;;
2014;3341197;NULL;334;20;1391;41;;;
2015;3341197;NULL;334;30;1615;42;;;
2016;3341197;NULL;334;35;1614;43;;;
2017;3341197;NULL;334;45;1710;44,2;;;
2013;3341216;NULL;334;18;825;37;;;
2014;3341216;NULL;334;15;972;37,2;;;
2015;3341216;NULL;334;18;990;37,8;;;
2016;3341216;NULL;334;23;1061;38,2;;;
2017;3341216;NULL;334;24;1138;39;;;
2013;3551012;NULL;355;135;2310;38;;;
2014;3551012;NULL;355;135;2453;38,7;;;
2015;3551012;NULL;355;120;2232;38,4;;;
2016;3551012;NULL;355;105;2648;39;;;
2017;3551012;NULL;355;138;2906;39,5;;;
2013;3551027;NULL;355;66;3585;49;;;
2014;3551027;NULL;355;96;3034;50;;;
2015;3551027;NULL;355;72;3274;51;;;
2016;3551027;NULL;355;66;3106;50,5;;;
2017;3551027;NULL;355;96;3647;49;;;
2013;3551043;NULL;355;45;1596;39;;;
2014;3551043;NULL;355;43;1744;39,5;;;
2015;3551043;NULL;355;48;1775;39,8;;;
2016;3551043;NULL;355;48;2092;40;;;
2017;3551043;NULL;355;56;2146;40,7;;;
2013;3551051;NULL;355;33;541;34,2;;;
2014;3551051;NULL;355;33;526;35,3;;;
2015;3551051;NULL;355;33;535;36;;;
2016;3551051;NULL;355;33;646;35,3;;;
2017;3551051;NULL;355;50;645;36;;;
2013;3551066;NULL;355;42;448;35,7;;;
2014;3551066;NULL;355;42;788;33,7;;;
2015;3551066;NULL;355;42;689;40;;;
2016;3551066;NULL;355;42;667;33,7;;;
2017;3551066;NULL;355;64;797;35;;;
2013;3551074;NULL;355;42;604;36;;;
2014;3551074;NULL;355;42;513;37,6;;;
2015;3551074;NULL;355;42;627;44,66;;;
2016;3551074;NULL;355;42;540;37,6;;;
2017;3551074;NULL;355;64;656;26,5;;;
2013;3551082;NULL;355;42;437;35;;;
2014;3551082;NULL;355;42;540;36,8;;;
2015;3551082;NULL;355;42;592;42,19;;;
2016;3551082;NULL;355;42;414;36,8;;;
2017;3551082;NULL;355;54;420;26,5;;;
2013;3551097;NULL;355;27;691;36;;;
2014;3551097;NULL;355;27;848;37,9;;;
2015;3551097;NULL;355;33;841;43,65;;;
2016;3551097;NULL;355;33;1208;37,9;;;
2017;3551097;NULL;355;50;1191;31;;;
2013;3551101;NULL;355;42;1960;39;;;
2014;3551101;NULL;355;42;2180;40;;;
2015;3551101;NULL;355;42;1905;43;;;
2016;3551101;NULL;355;42;2177;42;;;
2017;3551101;NULL;355;54;2296;40;;;
2013;3551116;NULL;355;24;384;31;;;
2014;3551116;NULL;355;24;574;30,7;;;
2015;3551116;NULL;355;30;821;30,7;;;
2016;3551116;NULL;355;30;672;30,6;;;
2017;3551116;NULL;355;34;706;23;;;
2013;3551147;NULL;355;36;412;35;;;
2014;3551147;NULL;355;36;525;36,9;;;
2015;3551147;NULL;355;48;924;37;;;
2016;3551147;NULL;355;54;873;36,9;;;
2017;3551147;NULL;355;82;1135;30,5;;;
2013;3551155;NULL;355;24;439;33;;;
2014;3551155;NULL;355;30;646;32;;;
2015;3551155;NULL;355;36;781;34;;;
2016;3551155;NULL;355;36;1023;34,5;;;
2017;3551155;NULL;355;54;996;34;;;
2013;3551163;NULL;355;24;353;35;;;
2014;3551163;NULL;355;24;446;34;;;
2015;3551163;NULL;355;30;621;35;;;
2016;3551163;NULL;355;30;500;33;;;
2017;3551163;NULL;355;46;606;29;;;
2013;3551171;NULL;355;84;1884;;;;
2014;3551171;NULL;355;75;2123;40,5;;;
2015;3551171;NULL;355;72;2208;40,5;;;
2016;3551171;NULL;355;69;2365;41;;;
2017;3551171;NULL;355;100;2774;40;;;
2013;3551186;NULL;355;48;1213;;;;
2014;3551186;NULL;355;48;1151;42,3;;;
2015;3551186;NULL;355;42;1310;42;;;
2016;3551186;NULL;355;36;1492;41;;;
2017;3551186;NULL;355;54;1680;42,5;;;
2013;3551194;NULL;355;66;1464;42,5;;;
2014;3551194;NULL;355;60;1641;43,7;;;
2015;3551194;NULL;355;54;1805;43,7;;;
2016;3551194;NULL;355;48;1662;43,7;;;
2017;3551194;NULL;355;72;1684;34;;;
2013;3551205;NULL;355;66;1329;43;;;
2014;3551205;NULL;355;72;1290;44;;;
2015;3551205;NULL;355;66;1190;43;;;
2016;3551205;NULL;355;66;1370;44;;;
2017;3551205;NULL;355;100;1461;37,5;;;
2013;3551213;NULL;355;66;1087;38;;;
2014;3551213;NULL;355;45;1087;49;;;
2015;3551213;NULL;355;45;1170;48;;;
2016;3551213;NULL;355;45;1498;49;;;
2017;3551213;NULL;355;68;1595;38,5;;;
2013;3551221;NULL;355;42;1192;39;;;
2014;3551221;NULL;355;42;1448;40,7;;;
2015;3551221;NULL;355;42;1505;41;;;
2016;3551221;NULL;355;42;1608;40,7;;;
2017;3551221;NULL;355;64;1647;32,5;;;
2013;3551236;NULL;355;45;1305;43;;;
2014;3551236;NULL;355;45;1336;44,5;;;
2015;3551236;NULL;355;45;1262;42,5;;;
2016;3551236;NULL;355;48;1738;44,5;;;
2017;3551236;NULL;355;72;1874;38;;;
2013;3551244;NULL;355;36;849;38;;;
2014;3551244;NULL;355;36;896;39,7;;;
2015;3551244;NULL;355;36;990;38;;;
2016;3551244;NULL;355;36;1151;39,7;;;
2017;3551244;NULL;355;56;982;36;;;
2013;3551252;NULL;355;36;734;43;;;
2014;3551252;NULL;355;54;977;44,5;;;
2015;3551252;NULL;355;54;1033;43;;;
2016;3551252;NULL;355;45;799;44,2;;;
2017;3551252;NULL;355;60;841;45;;;
2013;3551267;NULL;355;36;1641;36;;;
2014;3551267;NULL;355;30;1655;37;;;
2015;3551267;NULL;355;24;955;36;;;
2016;3551267;NULL;355;30;837;37;;;
2017;3551267;NULL;355;46;811;36,5;;;
2013;3551275;NULL;355;30;872;38;;;
2014;3551275;NULL;355;30;1093;40;;;
2015;3551275;NULL;355;30;890;41;;;
2016;3551275;NULL;355;30;781;40;;;
2017;3551275;NULL;355;46;765;39;;;
2013;3551283;NULL;355;36;827;36;;;
2014;3551283;NULL;355;36;847;37,2;;;
2015;3551283;NULL;355;30;859;38;;;
2016;3551283;NULL;355;30;937;37,2;;;
2017;3551283;NULL;355;46;1093;37;;;
2013;3551291;NULL;355;90;1189;34;;;
2014;3551291;NULL;355;72;1180;35,2;;;
2015;3551291;NULL;355;72;1396;35,2;;;
2016;3551291;NULL;355;75;1212;35,2;;;
2017;3551291;NULL;355;114;1319;35;;;
2013;3551302;NULL;355;24;1335;35;;;
2014;3551302;NULL;355;24;796;36,5;;;
